,1,1,1,1,1,13,3,3,1,1,13,0,,1,1,1,13
5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5
7,7,7,7,7,7,7,7,7,7,2,2,7,7,2,2,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8
13,13,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
2,4,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2
9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,9,9,9
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,11,10,10
13,13,13,13,13,13,13,13,2,2,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,13,13,13
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10
13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,13,13,13
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,11,10,10
,,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,
13,13,13,13,13,13,13,13,13,13,13,2,13,13,2,2,13,13
