15,7,2,5,1,1,16,16,16,6,13,16,0,0,8,3,4,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,17,3,16,16,3,3,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16
16,16,16,16,16,16,16,16,16,16,9,16,16,16,8,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,10,16,16
16,16,16,16,16,16,16,16,11,11,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,10,16,16
15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,16,16,16,16,16,16,16,3,16,16,3,3,16,16
